"full_name","name","e","a","ma","i","w","diameter","om","per_y","neo","pha","spkid","pdes"
"  1566 Icarus (1949 MA)",Icarus,0.8270,1.078,160.86,22.80,31.43,1.0,87.95,1.12,Y,Y,20001566,1566
"  1620 Geographos (1951 RA)",Geographos,0.3356,1.246,289.36,13.34,277.01,2.56,337.15,1.39,Y,Y,20001620,1620
"  1862 Apollo (1932 HA)",Apollo,0.5599,1.471,252.87,6.35,286.03,1.5,35.56,1.78,Y,Y,20001862,1862
"  1981 Midas (1973 EA)",Midas,0.6505,1.776,258.81,39.82,267.84,3.4,356.80,2.37,Y,Y,20001981,1981
"  2101 Adonis (1936 CA)",Adonis,0.7642,1.874,230.82,1.32,43.69,0.6,349.43,2.57,Y,Y,20002101,2101
"  2102 Tantalus (1975 YA)",Tantalus,0.2993,1.29,78.27,64.00,61.52,1.649,94.35,1.47,Y,Y,20002102,2102
"  2135 Aristaeus (1977 HA)",Aristaeus,0.5030,1.6,202.31,23.07,290.97,,191.11,2.02,Y,Y,20002135,2135
"  2201 Oljato (1947 XC)",Oljato,0.7107,2.179,334.42,2.52,98.37,1.80,74.87,3.22,Y,Y,20002201,2201
"  3200 Phaethon (1983 TB)",Phaethon,0.8898,1.271,248.98,22.31,322.31,6.25,265.10,1.43,Y,Y,20003200,3200
"  3361 Orpheus (1982 HR)",Orpheus,0.3229,1.21,24.54,2.66,302.34,0.3,188.68,1.33,Y,Y,20003361,3361
"  3671 Dionysus (1984 KD)",Dionysus,0.5420,2.2,131.35,13.54,204.33,1.5,82.05,3.26,Y,Y,20003671,3671
"  3757 Anagolay (1982 XB)",Anagolay,0.4459,1.834,293.70,3.87,17.24,0.5,74.93,2.48,Y,Y,20003757,3757
"  4015 Wilson-Harrington (1979 VA)",Wilson-Harrington,0.6312,2.626,181.75,2.80,95.52,4,266.73,4.25,Y,Y,20004015,4015
"  4034 Vishnu (1986 PA)",Vishnu,0.4441,1.06,260.40,11.17,296.70,0.42,157.89,1.09,Y,Y,20004034,4034
"  4179 Toutatis (1989 AC)",Toutatis,0.6248,2.543,339.68,0.45,277.88,5.4,125.36,4.06,Y,Y,20004179,4179
"  4183 Cuno (1959 LM)",Cuno,0.6361,1.981,175.91,6.67,237.02,3.651,294.35,2.79,Y,Y,20004183,4183
"  4450 Pan (1987 SY)",Pan,0.5866,1.443,192.17,5.52,291.94,,311.70,1.73,Y,Y,20004450,4450
